Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Данчук,Вʼячеслав,Васильович,Чоловіча,28.03.1974,Парфюмер,село Радехів,"проспект Амбулаторна, буд. 37 кв. 5, Люботин, 26392",000 147 91 15,iaremaamaliia@example.com
Чабан,Амалія,Олександрівна,Жіноча,30.10.2005,Мікробіолог,село Шепетівка,"шосе Локомотивний 1-й, буд. 4 кв. 23, Великі Мости, 68228",450 92 27,szatovkaniuk@example.net
Євтушок,Кирило,Миколайович,Чоловіча,20.05.1993,Зоолог,село Покров,"парк Розумовський 2-й, буд. 216, Березань , 92219",503 87 07,amaliiababko@example.org
Даниленко,Демʼян,Михайлович,Чоловіча,28.06.1953,Режисер,місто Івано-Франківськ,"узвіз Суперфосфатна, буд. 6, Мирноград, 09124",+380 50 771-94-96,olena88@example.org
Андрійчук,Юстим,Миколайович,Чоловіча,11.07.1949,Юрист,місто Красноград,"вулиця Маринеско узвіз, буд. 33 кв. 05, Новий Калинів, 43160",+380 30 264-51-23,kadeniukpriska@example.net
Міщенко,Леонід,Васильович,Чоловіча,12.04.2008,Кухар,село Остер ,"парк Бітумна, буд. 754 кв. 193, Краматорськ, 79219",+380 88 096-34-52,izhakielysei@example.com
Данченко,Богдан,Миколайович,Чоловіча,11.09.1968,Адвокат,місто Хрестівка,"провулок Сміливий, буд. 07 кв. 53, Буськ, 74742",936 98 00,leontiiovcharenko@example.org
Стельмах,Варвара,Вікторівна,Жіноча,01.12.1995,Фрілансер,село Кременчук,"провулок Садова 5-та, буд. 90, Сторожинець, 86615",+380 88 563-41-32,malykonysym@example.org
Василевич,Назар,Сергійович,Чоловіча,28.04.1991,Круп'є,місто Хорол ,"вулиця Стєклова, буд. 657, Луцьк, 98502",645 35 45,nazarzatula@example.com
Зінчук,Юстим,Вікторович,Чоловіча,25.09.1984,Фізик,місто Люботин,"провулок Аграрна, буд. 07 кв. 723, Добромиль, 23708",039 140 50 25,kamillakarmaliuk@example.org
Зубко,Аарон,Сергійович,Чоловіча,09.10.1986,Режисер,село Українськ,"набережна Софії Перовської, буд. 56, Комарно, 66918",050 223 88 33,nazar86@example.net
Піддубний,Богданна,Миколаївна,Жіноча,09.07.1948,Клоун,хутір Мелітополь,"провулок Політкаторжан, буд. 28 кв. 894, Городня, 69419",078 898 46 82,chalyiviacheslav@example.org
Артим,Соломія,Олександрівна,Жіноча,27.10.1972,Електромонтажник,селище Буськ,"проспект Глазунова 2-й, буд. 249, Бровари, 76273",+380 (55) 468-20-42,mykytakarmaliuk@example.com
Ільченко,Богуслава,Василівна,Жіноча,22.12.1977,Електротехнік,хутір Пирятин,"узвіз Морський, буд. 858, Харків, 93796",+380 (08) 000-17-30,halyna10@example.org
Чайка,Аркадій,Володимирович,Чоловіча,07.09.2004,Мовознавець,селище Балта,"площа Фестивальний, буд. 2 кв. 8, Мирноград, 93980",+380 48 181 28 29,tymofiikolisnychenko@example.org
Зінкевич,Лесь,Володимирович,Чоловіча,29.07.1963,Золотар,село Мерефа,"провулок Артилерійський 2-й, буд. 5, Івано-Франківськ, 73368",762 13 60,hartiukh@example.net
Яценко,Мирослав,Олександрович,Чоловіча,27.07.1985,Клавішник,селище Узин,"вулиця Градоначальницька, буд. 01, Святогірськ, 72236",621-72-33,bezditkoherman@example.com
Ємельяненко,Марта,Олександрівна,Жіноча,12.01.1992,Програміст,місто Алчевськ,"набережна Зелена, буд. 9, Кобеляки, 03502",+380 (66) 762-19-82,mishchenkokhrystyna@example.com
Вівчаренко,Вадим,Володимирович,Чоловіча,08.07.1982,Футболіст,село Кремінна,"провулок Данькевича, буд. 89, Новояворівськ, 42555",076 957 49 61,xhavryliuk@example.org
Вернигора,Богуслава,Миколаївна,Жіноча,18.05.2008,Психолог,село Новомиргород,"набережна Промисловий, буд. 445 кв. 12, Богодухів, 42819",079 881 45 37,nosenkomykhailyna@example.org
Дзиндра,Арсен,Володимирович,Чоловіча,26.02.1948,Публіцист,місто Білицьке,"площа Тираспольська, буд. 7 кв. 63, Фастів, 48300",+380 (58) 367-19-92,pushkarmarusia@example.com
Чекалюк,Надія,Іванівна,Жіноча,12.10.1940,Підприємець,місто Вишгород,"площа Державіна, буд. 3 кв. 68, Хрестівка, 90454",810 14 07,dubenkovalerii@example.net
Бабʼюк,Альбіна,Василівна,Жіноча,25.07.1983,Лікар,місто Перевальськ,"набережна Прорізний, буд. 30, Географія Вільнянська, 37289",+380 69 546-64-22,fievdokymenko@example.com
Салій,Аарон,Сергійович,Чоловіча,02.01.1962,Диригент,хутір Рубіжне,"узвіз Восьмого березня узвіз, буд. 6, Острог, 38773",377 02 50,dmytrofilipenko@example.org
Кабаненко,Юстим,Олександрович,Чоловіча,04.04.2001,Фізик,село Подільськ,"узвіз 40-річчя оборони Одеси, буд. 723 кв. 110, Первомайський , 44053",009 409 54 23,pylyp13@example.net
Конопленко,Владислав,Вікторович,Чоловіча,15.06.1952,Кухар,хутір Болград,"вулиця Проектований 3-й, буд. 5 кв. 861, Генічеськ, 21252",451 20 91,deisunorest@example.com
Царенко,Ірина,Вікторівна,Жіноча,27.04.1987,Клавішник,село Іллінці,"сквер Достоєвського, буд. 61 кв. 840, Південне , 31328",500 83 32,nataliiamalyshko@example.net
Гоголь-Яновський,Гордій,Олександрович,Чоловіча,26.08.1939,Археолог,хутір Синельникове,"набережна Трамвайна, буд. 127 кв. 80, Тернівка , 80482",+380 (38) 795-97-49,nzakharenko@example.com
Дробʼязко,Григорій,Володимирович,Чоловіча,20.11.1964,Гінеколог,хутір Теребовля,"проспект Віцеадмірала Азарова, буд. 96 кв. 657, Буча, 63863",+380 (07) 605-00-00,bpanchuk@example.net
Шеремет,Данна,Миколаївна,Жіноча,22.03.1985,Менеджер,село Костопіль,"вулиця Георгія Гамова, буд. 320, Харцизьк, 38789",903-55-28,valeksiichuk@example.net
Москаль,Ганна,Володимирівна,Жіноча,11.10.1964,Драматург,місто Золоте,"проспект Орловська, буд. 84 кв. 8, Буринь, 72063",+380 (11) 785-65-80,ymasokha@example.com
Палій,Мирослав,Володимирович,Чоловіча,06.08.1965,Художник,селище Чугуїв,"вулиця Академіка Корольова, буд. 82 кв. 2, Южне, 08382",028 729-85-15,piddubnyinazar@example.org
Євдокименко,Яків,Іванович,Чоловіча,21.10.1964,Електромонтер,село Севастополь,"вулиця Професора Коровицького, буд. 79, Чуднів, 53039",072 613-37-23,azar29@example.net
Зінченко,Гліб,Сергійович,Чоловіча,17.01.1959,Ріелтор,хутір Мостиська,"проспект Обривиста, буд. 382 кв. 7, Ківерці, 04658",883-88-15,veniiamyn11@example.com
Харченко,Аніта,Вікторівна,Жіноча,04.12.1963,Євнух,село Добромиль,"шосе Кренкеля, буд. 7 кв. 16, Нікополь, 66280",+380 80 841 78 81,valentyn58@example.org
Червоненко,Трохим,Вікторович,Чоловіча,29.04.1977,Доцент,хутір Жмеринка,"набережна Планетна, буд. 31, Галич, 80598",089 121 94 87,anastasiiabaida@example.org
Вдовиченко,Камілла,Іванівна,Жіноча,30.11.1937,Медик,селище Новий Розділ,"площа Дачний, буд. 2 кв. 55, Корець, 46959",+380 82 131 08 29,oleksa49@example.com
Александренко,Олександр,Миколайович,Чоловіча,26.10.1990,Парфюмер,селище Молочанськ,"парк Черепанових, буд. 591, Гребінка, 39570",027 427 57 03,azar39@example.org
Євтушок,Стефан,Миколайович,Чоловіча,28.01.1953,Продюсер,селище Миргород,"проспект Соціальна, буд. 88, Червоноград, 88673",+380 08 071 24 89,artymzakhar@example.net
Зінкевич,Олег,Сергійович,Чоловіча,07.10.1950,Електромонтер,місто Вишгород,"парк Привозна, буд. 36 кв. 1, Судова Вишня, 68515",+380 73 732-22-06,babiioleh@example.net
Фурс,Марʼяна,Сергіївна,Жіноча,02.05.1962,Нотаріус,селище Фастів,"сквер Балтська дорога, буд. 447, Жданівка, 97118",+380 66 743-97-33,fedir71@example.org
Рябовіл,Аарон,Сергійович,Чоловіча,19.04.1991,Хімік,хутір Обухів,"узвіз Магнітогорський, буд. 5 кв. 756, Ямпіль, 80538",+380 81 270-38-14,amvrosiiakymenko@example.com
Дрозденко,Йосип,Сергійович,Чоловіча,02.07.1999,Вчитель,місто Шостка,"узвіз 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 68 кв. 828, Христинівка, 74436",721 50 36,kyrylenkosolomon@example.org
Бабич,Ярослав,Сергійович,Чоловіча,15.03.1959,Актор,село Мала Виска,"шосе Заводська 2-га, буд. 512, Пирятин, 39224",+380 65 904 89 32,kbabiak@example.org
Канівець,Давид,Васильович,Чоловіча,11.09.1954,Фізик,місто Немирів,"провулок Латвійський узвіз, буд. 8 кв. 245, Вараш, 88831",337-62-97,allalytvynenko@example.net
Корж,Аніта,Володимирівна,Жіноча,24.07.1961,Електрослюсар,селище Сніжне,"сквер Листяний, буд. 4, Стрий, 55280",+380 81 218-20-33,stanislav00@example.org
Франко,Варвара,Іванівна,Жіноча,16.02.1944,Мікробіолог,місто Зборів,"вулиця Аркадіївський, буд. 91 кв. 3, Бахмут, 55037",+380 48 747 51 33,nesterenkofeofan@example.net
Бабійчук,Олекса,Іванович,Чоловіча,29.04.1943,Державний службовець,село Волочиськ,"проспект Український 1-й, буд. 1 кв. 963, Залізне, 58962",003 847 86 74,bandurkaokhrim@example.com
Міщенко,Анастасія,Іванівна,Жіноча,14.08.1998,Бібліотекар,хутір Острог,"сквер Лазурний 5-й, буд. 99, Євпаторія, 52945",005 036 17 43,okseniia71@example.com
Ґалаґан,Ірена,Сергіївна,Жіноча,19.11.1940,Письменник,село Донецьк,"сквер Молодогвардійська, буд. 6 кв. 53, Петрово-Красносілля, 27518",+380 03 810-99-33,mykhailynavasylashko@example.org
Таран,Лариса,Вікторівна,Жіноча,21.08.1990,Клоун,село Барвінкове,"узвіз Селищний, буд. 7, Іллінці, 87966",+380 85 215 66 28,dankivirena@example.com
Шеремет,Олександр,Олександрович,Чоловіча,30.06.1976,Соціолог,місто Первомайськ,"провулок Лізи Чайкіної, буд. 147 кв. 703, Болехів, 92775",+380 03 212 04 17,hmatiash@example.com
Бабиченко,Марко,Володимирович,Чоловіча,01.11.1999,Нотаріус,хутір Жмеринка,"провулок Український 2-й, буд. 630 кв. 3, Приморськ (Україна), 35178",+380 59 929 94 69,kazhazha@example.net
Бабич,Климент,Вікторович,Чоловіча,05.01.1988,Штукатур,селище Великі Мости,"проспект Дачний, буд. 47 кв. 6, Борзна, 80352",+380 90 530-23-56,albertlupii@example.net
Павличенко,Богуслав,Вікторович,Чоловіча,18.06.1943,Пілот,хутір Городня,"провулок Бессарабська, буд. 392, Тлумач, 71246",+380 81 222-17-74,roksolanadrobiazko@example.com
Чабан,Климент,Іванович,Чоловіча,02.06.2003,Клавішник,селище Берестечко,"проспект Недєліна, буд. 1 кв. 12, Борислав, 95456",085 034-98-27,havryliukhavrylo@example.org
Дутка,Болеслав,Іванович,Чоловіча,08.09.1976,Лікар,селище Макіївка,"провулок Жоліо-Кюрі, буд. 4 кв. 66, Городище , 45814",+380 32 547 15 83,drobiazkosolomiia@example.com
Чарниш,Тарас,Вікторович,Чоловіча,11.09.1986,Палеонтолог,село Хорол ,"набережна Восьмого березня 1-й, буд. 816 кв. 1, Липовець, 97693",036 348-17-62,demyddakhno@example.org
Негода,Альбіна,Іванівна,Жіноча,10.04.1944,Публіцист,хутір Городище ,"сквер Моторний 1-й, буд. 1 кв. 073, Лутугине, 52104",+380 49 249 32 58,hverhun@example.net
Алексеєнко,Аліна,Вікторівна,Жіноча,13.05.1945,Художник,селище Козятин,"сквер Маланова, буд. 0 кв. 59, Красногорівка, 58731",020 676-43-11,sshablii@example.net
Ващенко,Богданна,Сергіївна,Жіноча,31.05.1954,Електрик,хутір Рубіжне,"набережна Гімназична, буд. 60, Бахмут, 53267",+380 83 389-98-40,raleksandrenko@example.org
Шахрай,Ярема,Володимирович,Чоловіча,09.08.1966,Юрист,місто Довжанськ,"узвіз Травневий 3-й, буд. 66 кв. 63, Алушта, 93921",+380 88 330-71-32,sheremetamyron@example.net
Дейнеко,Федір,Іванович,Чоловіча,15.03.1977,Фармацевт,хутір Мар'їнка,"набережна Ковалевського узвіз, буд. 00 кв. 0, Канів, 20021",938 18 13,zkhudiak@example.com
Романенко,Аркадій,Михайлович,Чоловіча,05.10.2005,Підприємець,місто П'ятихатки,"шосе Михайла Жванецького, буд. 439, Підгородне, 14638",038 717 02 68,ppetryk@example.org
Артим,Леопольд,Васильович,Чоловіча,11.01.1993,Ботанік,місто Дубровиця,"шосе Теліги Олени, буд. 14 кв. 48, Почаїв, 59571",094 872-12-88,havrylo80@example.com
Єрьоменко,Остап,Васильович,Чоловіча,26.09.1948,Епідеміолог,село Бучач,"парк Благовидової, буд. 2 кв. 88, Кам'янка (Черкаська область), 69805",097 747 09 88,mykyta90@example.com
Олійник,Дарина,Михайлівна,Жіноча,25.08.1956,Шериф,селище Міусинськ,"проспект Стороженка Олега, буд. 6, Алушта, 88702",067 590 98 69,zhrytsenko@example.com
Ярема,Сергій,Іванович,Чоловіча,23.08.1963,Клоун,селище Суми,"шосе Ялинкова, буд. 005 кв. 30, Зимогір'я, 06191",033 763-94-87,alina64@example.com
Гупало,Борислав,Володимирович,Чоловіча,04.06.1996,Палеонтолог,село Родинське,"шосе Траса Здоров'я, буд. 1 кв. 7, Балаклія, 03711",+380 85 446 81 30,andriichukvalentyn@example.org
Оліфіренко,Богуслава,Василівна,Жіноча,07.03.1955,Електромонтажник,місто Вугледар,"сквер Некрасова, буд. 345 кв. 8, Генічеськ, 14716",+380 19 849 43 62,viktor52@example.net
Слюсар,Пріска,Олександрівна,Жіноча,28.02.1991,Кіноактор,місто Шепетівка,"парк 11-та Лінія Марії Демченко, буд. 6 кв. 629, Алупка, 65602",+380 23 163-73-12,alevtyn50@example.net
Атаманчук,Антон,Васильович,Чоловіча,21.01.1983,Патологоанатом,хутір Прип'ять ,"вулиця Амурська, буд. 887, Макіївка, 84165",+380 40 509-43-02,demianchuktereza@example.org
Деряжний,Єлисавета,Олександрівна,Жіноча,12.03.1992,Диригент,місто Маріуполь,"узвіз Економічний, буд. 9, Сокиряни, 78975",096 752 11 07,demian52@example.net
Скирда,Єлисавета,Вікторівна,Жіноча,09.03.1964,М'ясник,місто Помічна,"узвіз Мостовий, буд. 2 кв. 03, Решетилівка, 30140",038 879 51 71,solomon31@example.com
Чубай,Микита,Миколайович,Чоловіча,31.10.1963,Сценарист,хутір Вільногірськ,"парк Юхима Фесенка, буд. 9 кв. 196, Деражня, 07309",+380 (64) 481-07-04,tusyk@example.net
Іщенко,Теодор,Іванович,Чоловіча,06.07.1976,Прокурор,хутір Часів Яр,"шосе Середня, буд. 78 кв. 2, Монастириська, 51924",+380 81 644-90-92,pskoryk@example.com
Воблий,Леонід,Михайлович,Чоловіча,12.01.1974,Гінеколог,хутір Ананьїв,"шосе Лазурний 2-й, буд. 585 кв. 90, Селидове, 21221",009 832 64 71,zhukmarusia@example.net
Деряжний,Тарас,Васильович,Чоловіча,06.08.1985,Професор,хутір Київ,"набережна Планетна, буд. 55, Токмак, 95383",414 63 85,iukhym41@example.net
Дейсун,Богодар,Миколайович,Чоловіча,01.04.1950,Науковець,селище Волочиськ,"сквер Шкільний, буд. 9, Гайсин, 20131",070 831 67 21,xbabak@example.com
Заїка,Ярослав,Олександрович,Чоловіча,08.08.2005,Сантехнік,хутір Дубляни,"сквер Ляпідевського, буд. 5, Броди, 82357",619 77 43,zynoviivivcharenko@example.com
Цимбал,Петро,Миколайович,Чоловіча,10.05.1995,Палеонтолог,село Олександрівськ,"вулиця Новобазарний, буд. 99 кв. 565, Дебальцеве, 08834",+380 (62) 094-33-38,nestorbalaban@example.net
Баштан,Венедикт,Володимирович,Чоловіча,25.12.2001,Петрограф,хутір Одеса,"площа Нечипуренка, буд. 53 кв. 825, Зіньків, 02378",+380 68 584 99 05,borys25@example.net
Шаблій,Тетяна,Миколаївна,Жіноча,11.07.1998,Водій,місто Гола Пристань,"набережна Художника Федорова, буд. 60 кв. 00, Соледар, 56962",571 21 01,iaroslava96@example.org
Христич,Мирослав,Сергійович,Чоловіча,06.07.1980,Бізнесмен,селище Чигирин,"шосе Італійський, буд. 2 кв. 78, Хоростків, 10418",038 261-36-38,gkorbut@example.net
Гречаник,Венедикт,Іванович,Чоловіча,22.02.2001,Промисловець,місто Миронівка,"проспект Білоруська, буд. 18, Першотравенськ, 22447",032 093 69 79,bezborodkydanylo@example.net
Харченко,Вадим,Олександрович,Чоловіча,11.04.1952,Юрист,селище Первомайськ,"провулок Текстильників, буд. 418 кв. 371, Рудки, 31143",+380 (98) 407-96-18,iefymenkoorysia@example.com
Яценюк,Прохір,Олександрович,Чоловіча,05.04.1968,Бібліограф,хутір Городенка,"вулиця Водопровідний 1-й, буд. 468 кв. 22, Ржищів, 85623",015 774 05 72,hordiiandriishyn@example.org
Єременко,Галина,Володимирівна,Жіноча,09.08.2003,Філолог,село Кагарлик,"проспект Соляна, буд. 64 кв. 6, Перечин, 92196",+380 30 573-80-95,baranetstymofii@example.com
Медведенко,Герман,Васильович,Чоловіча,27.03.1941,Музикант,хутір Кипуче,"узвіз Траса Здоров'я, буд. 6 кв. 056, Алчевськ, 16029",+380 (72) 899-60-69,ifranchuk@example.org
Медведенко,Олесь,Михайлович,Чоловіча,28.12.1946,Скульптор,село Феодосія,"узвіз Магнітогорський 2-й, буд. 598 кв. 91, Авдіївка, 81101",072 703 92 94,samoilenkonataliia@example.net
Фоменко,Аарон,Миколайович,Чоловіча,05.04.1974,Електротехнік,хутір Вільнянськ,"проспект Амурська, буд. 402 кв. 492, Приморськ (Україна), 49546",001 745 91 33,zabarahennadii@example.com
Бездітко,Миколай,Васильович,Чоловіча,28.06.1959,Модельєр,місто Косів,"сквер Артезіанська, буд. 8, Золочів, 32513",+380 84 435-53-58,olha98@example.com
Луценко,Аарон,Васильович,Чоловіча,18.04.1958,Стиліст,село Судова Вишня,"набережна Карантинна, буд. 5 кв. 233, Тростянець, 67218",+380 (07) 104-05-41,eadamenko@example.com
Дубас,Пантелеймон,Вікторович,Чоловіча,16.06.1971,Реабілітолог,місто Ізмаїл,"набережна Пересипська 8-ма, буд. 793 кв. 532, Кодима, 43857",039 267 47 59,valentyna46@example.org
Шеремета,Тимофій,Сергійович,Чоловіча,04.02.1982,Акушер,хутір Овруч,"шосе Данькевича, буд. 560 кв. 49, Приморськ (Україна), 41238",590 22 84,iaroslavaredko@example.com
Уманець,Данна,Сергіївна,Жіноча,15.05.2002,Перекладач,хутір Рогатин,"шосе Шкіперська, буд. 2, Шостка, 50477",716-92-87,wvyshyvanyi@example.com
Щербань,Світлана,Миколаївна,Жіноча,15.08.1948,Кінокритик,селище Тетіїв,"провулок Моторний 2-й, буд. 345 кв. 1, Гола Пристань, 34403",+380 82 329 88 32,iaryna78@example.net
Шаповал,Ігор,Олександрович,Чоловіча,18.05.1978,Сантехнік,село Краматорськ,"провулок Преображенська, буд. 35, Жашків, 25354",938-60-98,derhachsnizhana@example.org
Їжак,Тетяна,Володимирівна,Жіноча,15.10.2002,Каскадер,селище Ківерці,"площа Бернардацці, буд. 6 кв. 85, Жидачів, 66706",+380 85 056-46-56,bshovkoplias@example.org
Корпанюк,Богдан,Михайлович,Чоловіча,19.07.1939,Науковець,хутір Торецьк,"узвіз Дмитрія Донського, буд. 801 кв. 574, Сокиряни, 86586",+380 19 438-35-72,smykkhoma@example.org
Устенко,Вікторія,Сергіївна,Жіноча,13.07.1991,Електротехнік,селище Ялта,"проспект Бабеля, буд. 060 кв. 95, Борзна, 13703",+380 14 321 82 16,uriaboshapka@example.com
Запорожець,Хома,Васильович,Чоловіча,31.01.1975,Прокурор,селище Ніжин,"площа Каспійський, буд. 379 кв. 96, Іллінці, 43081",967-80-54,irenaartym@example.com
Ващук,Роксолана,Вікторівна,Жіноча,06.05.1950,Няня,місто Павлоград,"площа Псковський, буд. 45, Мелітополь, 27172",201-61-14,iaroslavvertyporokh@example.net
Закусило,Кирило,Іванович,Чоловіча,07.10.1999,Музикант,селище Красноград,"площа Пушкінська, буд. 597, Бровари, 68387",026 787 92 88,liliiadanylenko@example.com
Балабан,Галина,Миколаївна,Жіноча,15.11.2005,Промисловець,місто Полонне,"сквер Митракова, буд. 904, Южноукраїнськ, 68983",+380 77 262-21-42,myroslavbaidak@example.net
Жарко,Демʼян,Олександрович,Чоловіча,11.04.1955,Редактор,хутір Миколаївка ,"проспект Артезіанська, буд. 3 кв. 813, Барвінкове, 22206",053 23 49,hryhorii37@example.net
Гузь,Наталія,Вікторівна,Жіноча,25.08.2005,Ді-джей,хутір Сніжне,"площа Лермонтовський, буд. 839 кв. 463, Борщів, 12671",+380 86 378 60 28,frantshaievskyi@example.org
Смик,Одарка,Іванівна,Жіноча,07.04.1946,Фармацевт,місто Миколаївка ,"проспект Лузанівка, буд. 905 кв. 01, Шумськ, 91601",+380 36 141 40 85,leon94@example.com
Стус,Віктор,Михайлович,Чоловіча,31.12.1960,Пекар,хутір Фастів,"узвіз Косий, буд. 63, Бахмач, 27245",+380 59 449-40-80,jprymachenko@example.com
Сіробаба,Ліза,Іванівна,Жіноча,25.03.1998,Громадський діяч,село Конотоп,"шосе Овідіопольська дуга, буд. 472, Малин, 01216",+380 91 160 75 70,xgalagan@example.org
Забашта,Герман,Іванович,Чоловіча,04.04.1981,Стиліст,місто Сорокине,"сквер Благовидової, буд. 6 кв. 4, Володимир-Волинський, 40669",019-22-91,liliiakonoplia@example.org
Ґерус,Ігор,Вікторович,Чоловіча,13.01.1956,Водій,хутір Брянка,"сквер Кримський, буд. 9 кв. 1, Радомишль, 15547",071 156 80 80,rshcherbak@example.net
Охріменко,Валентина,Олександрівна,Жіноча,02.09.1958,Фізик,село Золоте,"провулок Сєрова, буд. 72 кв. 5, Географія Вільнянська, 88566",+380 40 217 56 35,qmedvedenko@example.org
Гаврилів,Віолетта,Василівна,Жіноча,18.05.1984,Головний меркшейдер,село Тлумач,"проспект Різницький, буд. 7 кв. 9, Селидове, 15885",033 130 76 70,lukian70@example.com
Масляк,Вікторія,Михайлівна,Жіноча,11.03.1959,Сценарист,місто Новий Буг,"узвіз Пушкінська, буд. 3 кв. 4, Славута, 31789",+380 (29) 865-44-13,zkabaliuk@example.net
Дерегус,Богданна,Михайлівна,Жіноча,18.11.2004,Краєзнавець,селище Броди,"проспект Шишкіна, буд. 5, Тульчин, 60213",012 001 11 48,hrechkoiakiv@example.org
Макаренко,Демʼян,Васильович,Чоловіча,28.09.1974,Кінолог,село Чорноморськ,"шосе Прокатна, буд. 03, Сокаль, 48689",600 04 67,mykhailyna75@example.org
Матвієнко,Олег,Васильович,Чоловіча,21.09.1961,Дипломат,місто Кремінна,"сквер Щоглова, буд. 16, Долина , 01470",+380 45 713 29 72,shapovalboleslav@example.org
Вівчаренко,Марко,Володимирович,Чоловіча,27.05.2007,Композитор,село Золочів,"набережна Василя Стуса, буд. 870, Олешки, 77324",+380 38 228-12-09,iryna75@example.org
Симоненко,Леон,Олександрович,Чоловіча,22.05.1964,Астронавт,хутір Павлоград,"парк Балтський 5-й, буд. 311, Лохвиця, 20348",108-18-76,boryslavlaba@example.net
Назаренко,Омелян,Сергійович,Чоловіча,02.02.1957,Адвокат,селище Житомир,"шосе Баштанна, буд. 7 кв. 2, Гнівань, 76703",+380 82 155-47-00,babychenkoiosyp@example.com
Кабаненко,Клавдія,Миколаївна,Жіноча,18.10.1970,Мистецтвознавець,село Тростянець,"сквер Чубаївський, буд. 601, Подільськ, 13887",+380 36 769-48-71,omelian03@example.org
Алексеєнко,Маруся,Іванівна,Жіноча,18.01.1980,Паблік рилейшнз,хутір Козятин,"проспект Лиманний, буд. 658, Авдіївка, 18392",+380 (83) 643-43-71,opanasenkomariana@example.org
Шеремет,Богдан,Михайлович,Чоловіча,03.11.1955,Графік,селище Тисмениця,"проспект Чапаєва, буд. 621 кв. 2, Снігурівка, 35745",012 063-15-91,znalyvaiko@example.org
Оніщук,Ірена,Олександрівна,Жіноча,05.08.1993,Патологоанатом,село Севастополь,"парк Луганська, буд. 67, Кам'янець-Подільський, 44574",+380 74 566 43 41,larysa50@example.com
Скиба,Тарас,Васильович,Чоловіча,29.08.1974,Лікар,село Бар,"проспект Метрополітенівський, буд. 6 кв. 981, Гуляйполе, 29739",+380 75 629-53-68,tymofii71@example.net
Наливайко,Іван,Михайлович,Чоловіча,14.12.1959,Патологоанатом,хутір Рогатин,"парк Лядова, буд. 332, Ватутіне, 29929",017 659 17 29,huziidanna@example.com
Прокопович,Ростислав,Вікторович,Чоловіча,24.12.1966,Золотар,хутір Павлоград,"площа Наявний 3-й, буд. 89, Алчевськ, 32515",098 659-25-11,valeriidurdynets@example.com
Носаченко,Максим,Володимирович,Чоловіча,17.04.1993,Візажист,місто Кіцмань,"шосе Обільна, буд. 268, Берислав, 28004",094 247-67-57,artymirena@example.net
Чаленко,Марʼяна,Іванівна,Жіноча,26.07.2003,Кухар,місто Білицьке,"узвіз Сміливий, буд. 86, Калинівка , 86121",+380 (56) 697-44-51,alla05@example.org
Гузенко,Клавдія,Вікторівна,Жіноча,16.04.1945,Ріелтор,місто Олександрія,"набережна Білоруська, буд. 0 кв. 69, Борзна, 03456",047 240-08-22,ostaphodunok@example.com
Литвиненко,Геннадій,Вікторович,Чоловіча,30.12.1941,Фотограф,село Радивилів,"вулиця Маршала Говорова, буд. 593 кв. 6, Кривий Ріг, 95121",+380 80 740-75-16,pavlenkoonysym@example.net
Василашко,Орест,Михайлович,Чоловіча,04.04.1996,Адвокат,місто Старий Крим,"площа Керченський 2-й, буд. 95, Калинівка , 88837",+380 99 235 90 24,tymofii54@example.org
Скопенко,Софія,Миколаївна,Жіноча,21.09.1976,Зоолог,хутір Кам'янське,"шосе Свободи, буд. 973 кв. 3, Павлоград, 35557",+380 (00) 579-36-47,mariana43@example.com
Павленко,Орхип,Сергійович,Чоловіча,30.09.1981,Льотчик,місто Красилів,"набережна Інтернаціональний, буд. 89, Монастирище, 55497",096 448 73 29,karpaavrelii@example.net
Дейсун,Георгій,Іванович,Чоловіча,23.04.1941,Архітектор,місто Зоринськ,"парк Депутатський, буд. 092, Полтава, 35358",633 01 54,myronivasiuk@example.net
Вакуленко,Богдан,Сергійович,Чоловіча,27.12.1950,Промисловець,селище Глиняни,"провулок Композитора Глинки, буд. 34 кв. 52, Радехів, 08790",+380 06 839 21 19,iashchenkoprokhir@example.com
Байда,Азар,Васильович,Чоловіча,12.03.1944,Прокурор,селище Новоград-Волинський,"шосе Бітумна, буд. 88 кв. 25, Торецьк, 82020",+380 28 867 85 08,liudmylafranko@example.com
Шаблій,Ростислав,Вікторович,Чоловіча,12.06.1982,Гінеколог,хутір Копичинці,"площа Касима Юрія, буд. 2, Житомир, 67554",649 58 30,lukianmasokha@example.org
Вовк,Спас,Олександрович,Чоловіча,26.09.2001,Конструктор,селище Василівка ,"провулок Степна, буд. 624 кв. 086, Жмеринка, 84476",868 77 87,balabanhordii@example.org
Чумак,Альберт,Вікторович,Чоловіча,04.02.1959,Детектив,місто Новомиргород,"шосе Весняна, буд. 227 кв. 481, Подільськ, 55818",+380 72 691-25-07,adabhydenko@example.net
Орлик,Світлана,Володимирівна,Жіноча,08.09.1974,Геофізик,селище Перечин,"парк Махачкалинська, буд. 25 кв. 19, Заліщики, 25924",007 089-15-60,khrystyna54@example.com
Непорожній,Зиновій,Олександрович,Чоловіча,25.04.1983,Слідчий,місто Трускавець,"площа Василя Стуса, буд. 889 кв. 7, Сокаль, 20579",803-99-59,iukhymandriishyn@example.org
